County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
King,ALL,ALL,ALL,ALL,ALL,ALL,ALL,94460
Snohomish,ALL,ALL,ALL,ALL,ALL,ALL,ALL,21439
Clark,ALL,ALL,ALL,ALL,ALL,ALL,ALL,10675
Pierce,ALL,ALL,ALL,ALL,ALL,ALL,ALL,14043
ALL,Seattle,ALL,ALL,ALL,ALL,ALL,ALL,30045
ALL,ALL,2018,ALL,ALL,ALL,ALL,ALL,14290
ALL,ALL,2021,ALL,ALL,ALL,ALL,ALL,19034
ALL,ALL,2020,ALL,ALL,ALL,ALL,ALL,11851
ALL,ALL,2023,ALL,ALL,ALL,ALL,ALL,58393
ALL,ALL,2022,ALL,ALL,ALL,ALL,ALL,27922
ALL,ALL,2019,ALL,ALL,ALL,ALL,ALL,10921
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,ALL,80816
ALL,ALL,ALL,CHEVROLET,ALL,ALL,ALL,ALL,13864
ALL,ALL,ALL,NISSAN,ALL,ALL,ALL,ALL,14037
ALL,ALL,ALL,ALL,MODEL 3,ALL,ALL,ALL,30149
ALL,ALL,ALL,ALL,LEAF,ALL,ALL,ALL,13356
ALL,ALL,ALL,ALL,MODEL Y,ALL,ALL,ALL,37007
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,ALL,39485
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,141970
ALL,ALL,ALL,ALL,ALL,ALL,Not eligible due to low battery range,ALL,19912
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,66813
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,94730
ALL,ALL,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),32012
ALL,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,36705
ALL,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),67180
ALL,ALL,ALL,ALL,ALL,ALL,ALL,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10420
Snohomish,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,12452
ALL,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24161
ALL,ALL,2020,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10398
Snohomish,ALL,ALL,TESLA,ALL,ALL,ALL,ALL,11084
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,47231
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,51142
ALL,Seattle,ALL,TESLA,ALL,ALL,ALL,ALL,11900
ALL,ALL,2018,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11977
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,76225
ALL,ALL,2020,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,10034
ALL,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,23557
Pierce,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,10698
King,Seattle,ALL,ALL,ALL,ALL,ALL,ALL,30045
ALL,ALL,ALL,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,34636
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,51142
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,30149
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),37901
ALL,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,55309
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,29018
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,17665
King,ALL,2022,ALL,ALL,ALL,ALL,ALL,14765
ALL,ALL,2023,ALL,MODEL Y,ALL,ALL,ALL,19062
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12939
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC,13191
ALL,ALL,2021,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,15191
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,23961
ALL,ALL,ALL,ALL,MODEL Y,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,Seattle,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),28620
ALL,ALL,ALL,NISSAN,ALL,Battery Electric Vehicle (BEV),ALL,ALL,14037
King,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,51654
ALL,ALL,ALL,TESLA,MODEL Y,ALL,ALL,ALL,37007
King,ALL,ALL,ALL,MODEL 3,ALL,ALL,ALL,16807
King,ALL,ALL,TESLA,ALL,ALL,ALL,ALL,45463
ALL,ALL,2022,TESLA,ALL,ALL,ALL,ALL,13773
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,ALL,19903
ALL,ALL,2022,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10721
ALL,ALL,ALL,NISSAN,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10753
King,ALL,ALL,ALL,MODEL Y,ALL,ALL,ALL,20999
Snohomish,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,20325
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22910
ALL,ALL,2021,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,14641
ALL,ALL,ALL,ALL,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
ALL,ALL,ALL,TESLA,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,25507
ALL,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,ALL,19582
ALL,ALL,2023,TESLA,ALL,ALL,ALL,ALL,28609
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,33647
King,ALL,ALL,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),62126
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),54241
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,37007
ALL,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11543
ALL,ALL,ALL,ALL,MODEL 3,ALL,Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,ALL,TESLA,MODEL 3,ALL,ALL,ALL,30149
ALL,ALL,ALL,ALL,MODEL 3,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,13807
ALL,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC,12082
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25633
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC,16016
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,94730
ALL,ALL,ALL,NISSAN,LEAF,ALL,ALL,ALL,13356
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
Clark,ALL,ALL,ALL,ALL,ALL,ALL,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10420
ALL,ALL,2022,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,23557
ALL,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12276
ALL,ALL,ALL,ALL,LEAF,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,80816
ALL,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,19610
King,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,ALL,18235
King,ALL,2023,ALL,ALL,ALL,ALL,ALL,31790
ALL,ALL,2021,TESLA,ALL,ALL,ALL,ALL,11005
ALL,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,15254
King,ALL,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),32012
ALL,ALL,ALL,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),34793
ALL,ALL,ALL,ALL,LEAF,Battery Electric Vehicle (BEV),ALL,ALL,13356
ALL,ALL,2023,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
ALL,ALL,2022,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,13773
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,24567
King,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,27931
King,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,31342
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),21271
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,15254
King,ALL,ALL,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,19717
ALL,ALL,2021,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,11005
ALL,ALL,ALL,TESLA,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
King,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
King,ALL,2023,ALL,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22370
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,55309
ALL,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10955
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20962
ALL,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,16821
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,16342
King,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,11543
ALL,ALL,ALL,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
King,Seattle,ALL,TESLA,ALL,ALL,ALL,ALL,11900
King,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,15254
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,16016
Snohomish,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11922
ALL,ALL,2023,TESLA,MODEL Y,ALL,ALL,ALL,19062
ALL,ALL,ALL,ALL,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,ALL,TESLA,MODEL Y,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,Seattle,ALL,TESLA,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
King,ALL,2023,ALL,MODEL Y,ALL,ALL,ALL,10725
ALL,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,13807
King,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,23961
ALL,ALL,ALL,NISSAN,LEAF,Battery Electric Vehicle (BEV),ALL,ALL,13356
Snohomish,ALL,ALL,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC,10608
King,ALL,ALL,ALL,ALL,Plug-in Hybrid Electric Vehicle (PHEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11798
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,37007
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,34636
ALL,ALL,ALL,NISSAN,LEAF,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,2022,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,13773
ALL,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11304
ALL,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,19062
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),22829
King,ALL,2023,TESLA,ALL,ALL,ALL,ALL,16086
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,51142
King,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,12776
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,25507
ALL,ALL,ALL,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,34636
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,30149
ALL,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,23557
ALL,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24320
King,Seattle,ALL,ALL,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),28620
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),50328
King,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),ALL,ALL,27931
ALL,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11900
