County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25633
King,ALL,ALL,TESLA,MODEL Y,ALL,ALL,ALL,20999
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,12452
ALL,ALL,ALL,TESLA,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10473
King,ALL,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12276
ALL,ALL,ALL,TESLA,MODEL 3,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,13807
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),37901
King,ALL,ALL,TESLA,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
King,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,16807
ALL,ALL,ALL,NISSAN,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,10961
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,28609
ALL,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,19610
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,45463
King,ALL,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),35086
ALL,ALL,2023,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,28609
ALL,ALL,2021,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,14641
ALL,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,10961
King,ALL,ALL,ALL,MODEL Y,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15373
Snohomish,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11084
ALL,ALL,2021,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11005
King,ALL,ALL,TESLA,MODEL 3,ALL,ALL,ALL,16807
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20962
King,ALL,2022,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,12776
King,ALL,ALL,TESLA,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,ALL,14121
King,ALL,ALL,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),32587
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),34793
ALL,ALL,2023,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,ALL,TESLA,MODEL 3,ALL,Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,20999
King,ALL,ALL,ALL,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,51654
ALL,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),35086
King,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11900
ALL,ALL,ALL,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,2023,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11304
King,ALL,ALL,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,19717
King,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
King,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,15254
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20962
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,14121
King,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,28609
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15373
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24320
Snohomish,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,10608
King,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,12776
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,10961
ALL,ALL,ALL,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
ALL,ALL,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,19062
King,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,27931
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
King,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,16807
King,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,10725
King,ALL,2023,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,10725
King,ALL,ALL,TESLA,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11922
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
ALL,ALL,2022,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,13773
King,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),19405
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15240
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,34636
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),32587
ALL,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,2023,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
King,ALL,2023,TESLA,MODEL Y,ALL,ALL,ALL,10725
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10473
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,31342
King,Seattle,ALL,TESLA,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
King,ALL,ALL,TESLA,MODEL Y,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15373
King,ALL,2023,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12037
King,ALL,2023,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,16086
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
King,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,16086
King,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,20999
King,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22763
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19717
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,13807
King,Seattle,ALL,ALL,ALL,ALL,Clean Alternative Fuel Vehicle Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10955
King,ALL,ALL,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),14521
ALL,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
ALL,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
King,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),22829
King,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),19405
ALL,ALL,2021,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,11005
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),14521
King,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
King,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15373
King,ALL,2023,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,10725
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22763
King,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),19405
King,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
King,ALL,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,10725
King,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,10725
King,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19717
King,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,16086
ALL,ALL,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19062
King,ALL,2023,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12037
King,ALL,ALL,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),14521
King,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12037
King,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
King,ALL,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,10725
King,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),14521
King,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12037
